283,"IL ONLINE EXCLUSIVE ENTERPRISE 2040 E. ALGONQUIN RD SCHAUMBURG,IL,60173",2
284,"IN 1947 SOUTH COUNTY ROAD (SCR) 1240 E CROTHERSVILLE,IN,47229",2
285,"IN 4300 OXFORD ST FORT WAYNE,IN,46806",2
286,"IN IAA Indy Minnesota Street INDIANAPOLIS,IN,46241",2
287,"KY 1825 SOUTH PRESTON HIGHWAY SHEPHERDSVILLE,KY,40165",2
288,"KY 710 WOODFORD AVENUE BOWLING GREEN,KY,42101",2
289,"LA 1043 ORO TRAIL RD CROWLEY,LA,70526",2
290,"LA 29000 S FROST RD LIVINGSTON,LA,70754",2
291,"LA 301 MALAPART RD LAFAYETTE,LA,70507",2
292,"LA 415 HWY 93 NORTH SCOTT,LA,70583",2
293,"LA IAA CAT Baton Rouge - Carville 5978 HIGHWAY 75 CARVILLE,LA,70721",2
294,"LA Jennings Off-Site #760 JENNINGS,LA,70546",2
295,"MA Insurance Auto Auctions - Templeton2 411 BALDWINVILLE RD TEMPLETON,MA,01468",2
296,"MA LANCASTER,MA,01523",2
297,"MD 7131 VIRGINIA MANOR CT LAUREL,MD,20707",2
298,"MD Dundalk Offsite 770 BALTIMORE,MD,21213",2
299,"MD White Plains Aux Lot 4840 CRAIN HIGHWAY WHITE PLAINS,MD,20695",2
300,ME COPART 40 HOLMES ROAD SCARBOROUGH ME 04074,2
301,"MI ADESA Great Lakes 573 SOUTH TUSCOLA ROAD BAY CITY,MI,48708",2
302,"MI Detroit B & G Lot-8100 lynch rd 9100 LYNCH RD. DETROIT,MI,48234",2
303,"MI Grand Rapids Reed & Hoppes 2661 EAST GRAND RIVER AVE. PORTLAND, MI, 48875",2
304,"MI Marine City, MI MARINE CITY,MI,48039",2
305,"MI OFFSITE - Melvindale MI 48122 MELVINDALE,MI,48122",2
306,"MN 13289 25TH AVE NW RICE,MN,56367",2
307,"MN 1336 JACKSON ST SAINT PAUL,MN,55117",2
308,"MN 2975 PARTRIDGE RD ROSEVILLE,MN,55113",2
309,"MN 3300 150TH STREET EAST FARIBAULT,MN,55021",2
310,"MN IAA RED WING RED WING,MN,55066",2
311,"MO KANSAS CITY,MO,64129",2
312,"MO Squires Towing AFFTON,MO,63123",2
313,"MS 100 BEASLEY RD JACKSON,MS,39206",2
314,"MS IAA Byram 7670 SIWELL ROAD BYRAM,MS,39272",2
315,"MT 4U COLLISION CENTER 23 8TH AVE NE CONRAD,MT,59425",2
316,"NC 6500 ROZZELLES FERRY RD CHARLOTTE,NC,28214",2
317,"NC DUNN - 747 4129 NC-242 DUNN,NC,28334",2
318,"NC OFFSITE Monroe, NC 28110 MONROE,NC,28112",2
319,"NC RICHLANDS,NC,28574",2
320,"NC TKU AUTO SALES LLC 1204 N CHURCH ST BURLINGTON,NC,27217",2
321,"NE 13909 238TH STREET GREENWOOD,NE,68366",2
322,"NE iaa omaha north lot OMAHA,NE,68110",2
323,"NH 75 LOWELL RD SALEM,NH,03079",2
324,"NH Kingston, NH 03848 KINGSTON,NH,03848",2
325,"NH Salem 199 LAWRENCE RD SALEM,NH,03079",2
326,"NJ 230 PENSION RD MANALAPAN,NJ,07726",2
327,"NJ 700 FEDERAL BLVD CARTERET,NJ,07008",2
328,"NJ 985 STATE ROUTE 57 PORT MURRAY,NJ,07865",2
501,NY S.I. SUBLOT 211 JOHNSON ST STATEN ISLAND 10309,4
329,"NJ At the Central New Jersey (NJ) branch 426 TEXAS ROAD MORGANVILLE,NJ,07751",2
330,"NJ Englishtown CAT Yard #611 230 PENSION RD ENGLISHTOWN,NJ,07726",2
331,"NJ New Brunswick, NJ 08901 NEW BRUNSWICK,NJ,08901",2
332,"NJ PARKWAY AUTO 578 MEMORIAL PKWY PHILLIPSBURG,NJ,08865",2
333,"NJ Robbinsville, NJ ROBBINSVILLE,NJ,08691",2
334,"NM Albuquerque IAA Branch 4400 BROADWAY BLVD SE ALBUQUERQUE,NM,87105",2
335,"NY 115 PORT WATSON ST CORTLAND,NY 13045",2
336,"NY 1210 KINGS ROAD SCHENECTADY,NY,12303",2
337,"NY 21 RICE CT MEDFORD,NY,11763",2
338,"NY 366 VULCAN STREET BUFFALO,NY,14207",2
339,"NY 71 PECONIC AVE MEDFORD,NY,11763",2
340,"NY Binghamton, NY 13903 BINGHAMTON,NY,13903",2
341,"NY BUFFALO,NY,14227",2
342,"NY Drive Auto Sales 656 PINE AIRE DRIVE BAYSHORE,NY,11706",2
343,"NY HL2 EAST ROCHESTER,NY,14445",2
344,"NY LI - Calverton Airport 613 901 BURMAN BLVD CALVERTON,NY,11933",2
345,"NY Monticello-672 MONTICELLO,NY,12701",2
346,"NY small town auto MONTOUR FALLS,NY,14865",2
347,"NY STATEN ISLAND,NY,10314",2
348,"NY WEST NYACK,NY,10994",2
349,"OH AA Stimmel Road 420 STIMMEL ROAD COLUMBUS,OH,43223",2
350,"OH Amelia IAA Cinci-South 1736 LINDALE MT. HOLLY RD AMELIA,OH,45102",2
351,"OH At the Dayton (OH) branch 400 CHEROKEE DR DAYTON,OH,45417",2
352,"OH Offsite - Carrollton OH 44615 CARROLLTON,OH,44615",2
353,"OH Offsite - Cuyahoga Falls OH 44223 CUYAHOGA FALLS,OH,44223",2
354,"OH Offsite - Willoughby OH 44094 WILLOUGHBY,OH,44094",2
355,"OH Offsite -Elyria, OH 44035 ELYRIA,OH,44035",2
356,"OH Tallmadge,OH 44278 TALLMADGE,OH,44278",2
357,"OH Vermillion - North Ford Lot 8149 W. ERIE VERMILION,OH,44089",2
358,"OR EUGENE,OR,97402",2
359,"OR IAA St John Offiste 8524 N CRAWFORD AVE PORTLAND,OR,97203",2
360,"OR PORTLAND WEST 10498 N VANCOUVER WAY PORTLAND,OR,97217",2
361,"PA IAA Bridgeport - Philadelphia East 7777 STATE RD PHILADELPHIA,PA,19136",2
362,"PA R&J AUTOMOTIVE COMPANY LLC - Offsite ESSINGTON,PA,19029",2
363,"SC 422 SCUFFLETOWN RD SIMPSONVILLE,SC,29681",2
364,"SC Offsite - York NC 29745 YORK,SC,29745",2
